1645,LarvaMeat,幼虫肉,Normal
1646,GoldenLarvaMeat,金色の幼虫肉,Gold
5060,RainbowKelp,虹色の海草,Other
5500,Mushroom,きのこ,Normal
5502,GiantMushroom2,ジャンボマッシュルーム,Other
5503,AmberLarva2,幼虫の琥珀,Other
7901,Meat,霜降り肉,Normal
8003,HeartBerry,ハートベリー,Normal
8006,GlowingTulipFlower,発光チューリップ,Normal
8009,BombPepper,爆弾ピーマン,Normal
8012,Carrock,キャロック,Normal
8015,Puffungi,カビキノコ,Normal
8024,BloatOat,ボウチョウ麦,Normal
8027,Pewpaya,ピュパイヤ,Normal
8030,Pinegrapple,パイグラップル,Normal
8033,Grumpkin,ふきげんカボチャ,Normal
8036,Sunrice,サンライス,Normal
8039,Lunacorn,ルナコーン,Normal
8100,HeartBerryRare,金色のハートベリー,Gold
8101,GlowingTulipFlowerRare,金色の発光チューリップ,Gold
8102,BombPepperRare,金色の爆弾ピーマン,Gold
8103,CarrockRare,金色のキャロック,Gold
8104,PuffungiRare,金色のカビキノコ,Gold
8105,BloatOatRare,金色のボウチョウ麦,Gold
8106,PewpayaRare,金色のピュパイヤ,Gold
8107,PinegrappleRare,金色のパイグラップル,Gold
8108,GrumpkinRare,金色のふきげんガボチャ,Gold
8109,SunriceRare,金色のサンライス,Gold
8110,LunacornRare,金色のルナコーン,Gold
9618,AtlantianWormHeart,アトラスワームの心臓,Other
9700,OrangeCaveGuppy,オレンジ色の洞窟グッピー,Fish
9701,BlueCaveGuppy,青色の洞窟グッピー,Fish
9702,RockJaw,ロックジョー,Fish
9703,GemCrab,宝石ガニ,Fish
9704,DaggerFin,カミソリウオ,Fish
9705,PinkPalaceFish,モモイロキュウデンギョ,Fish
9706,TealPalaceFish,アオミドリキュウデンギョ,Fish
9707,CrownSquid,大王イカ,Fish
9708,YellowBlisterHead,イエローブリスターヘッド,Fish
9709,GreenBlisterHead,緑色のブリスターヘッド,Fish
9710,DevilWorm,デビルワーム,Fish
9711,VampireEel,吸血ウナギ,Fish
9712,MoldShark,カビザメ,Fish
9713,RotFish,ロットフィッシュ,Fish
9714,BlackSteelUrchin,クロガネウニ,Fish
9715,AzureFeatherFish,空色のハネウオ,Fish
9716,EmeraldFeatherFish,翡翠色のハネウオ,Fish
9717,SpiritVeil,スピリットベール,Fish
9718,AstralJelly,星クラゲ,Fish
9719,BottomTracer,ボトムトレーサー,Fish
9720,SilverTorrentDart,銀色のダート,Fish
9721,GoldenTorrentDart,金色のダート,Fish
9722,PinkCoralotl,ピンクサンゴウオ,Fish
9723,WhiteCoralotl,シロサンゴウオ,Fish
9724,SolidSpikeback,ハードスパイクバック,Fish
9725,SandySpikeback,サンドスパイクバック,Fish
9726,GreyDuneTail,グレイデューンテール,Fish
9727,BrownDuneTail,ブラウンデューンテール,Fish
9728,TornisKingfish,トーニスキングフィッシュ,Fish
9729,DarkLavaEater,ダークラヴァイーター,Fish
9730,BrightLavaEater,ブライトラヴァイーター,Fish
9731,VerdantDragonfish,グリーンドラゴンフィッシュ,Fish
9732,ElderDragonfish,エルダードラゴンフィッシュ,Fish
9733,StarlightNautilus,スターライトノーチラス,Fish
9734,AngleFish,緑柱石のアングルフィッシュ,Fish
9735,Deepstalker,玲瓏なディープストーカー,Fish
9736,CosmicForm,宇宙の形状,Fish
9737,GoldenAngleFish,碧玉のアングルフィッシュ,Fish
9738,GoldenDeepstalker,華麗なディープストーカー,Fish
9400,HealingPotion,回復ポーション,Potion
9401,EnragePotion,激怒ポーション,Potion
9402,StoneskinPotion,石肌ポーション,Potion
9403,PoisonAidPotion,毒治療ポーション,Potion
9404,GreaterHealingPotion,大回復ポーション,Potion
9405,KeenPotion,鋭敏ポーション,Potion
9406,GuardiansPotion,護り人のポーション,Potion
9407,CavelingCoffee,洞窟コーヒー,Potion
9408,HeartberrySoda,ハードベリーソーダ,Potion
9409,CrystalWater,結晶水,Potion
9600,CavelingBread,ケイヴリングのパン,Other
9601,JingleJamCookie,ジングルジャムクッキー,Other
9602,FoodRation,レーション,Other
9603,CavelingCrunch,洞窟クランチ,Potion
9604,GlazedHeartberry,シロップがけハートベリー,Potion
9605,TentacleJerky,触手ジャーキー,Potion
9606,ChewyConeCandy,噛みごたえのあるコーンキャンディ,Potion
9607,SpookyPopCandy,不気味なポップキャンディ,Season
9608,EvilEyeCandy,イビルアイキャンディ,Season
9609,FruitBread,フルーツパン,Season
9610,WinterDinner,冬のディナー,Season
9611,HotPunch,ホットポンチ,Season
9612,HotChocolate,ホットチョコレート,Season
9613,WinterCookies,冬のクッキー,Season
9614,GoldenChocolate,ゴールデンチョコレート,Season
9615,BoxOfChocolates,チョコレートボックス,Season
9616,DistilledSlime,蒸留愛,Season
9617,KelpDumpling,海草だんご,Season
7902,Egg,ドードーの卵,Normal
